"Feature","Gain","Cover","Frequence"
"ESCS",0.153532951470047,0.18083801600286,0.18075
"ST37Q05",0.148769898859426,0.0171394062055871,0.017125
"ST37Q03",0.0685351878408502,0.0101197816420591,0.010125
"ST37Q02",0.0630620944756718,0.0098805480580063,0.009875
"ST42Q02",0.0457313936034047,0.0104716531752902,0.0105
"ST43Q06",0.0433907639004512,0.0144537292092948,0.0145
"ST91Q06",0.0345545349427466,0.0178781296448435,0.017875
"INDIG",0.0299960838291465,0.0130132730698287,0.013
"STATE",0.0250194760111594,0.0524907202929758,0.0525
"ST37Q06",0.0198876422790317,0.0136117303836933,0.013625
"ST37Q04",0.0188214423566046,0.0152839530325599,0.01525
"ST35Q03",0.0178004007140167,0.0168753589580743,0.016875
"ST37Q01",0.0167761338055808,0.0163715037361508,0.016375
"ST42Q08",0.0166139353190988,0.0128879985327773,0.012875
"ST44Q03",0.0141348801721342,0.0184841114723963,0.0185
"ST42Q05",0.0125829313012015,0.0101158757876256,0.010125
"ST29Q03",0.0122239850240005,0.0178933509893271,0.017875
"ST91Q05",0.0114738315059765,0.017636943133574,0.017625
"ST37Q07",0.0109999398463585,0.0135256867080844,0.0135
"ST29Q08",0.0109600493057092,0.020988453432709,0.021
"ST43Q03",0.0108729065375273,0.0170901235128818,0.017125
"ST42Q07",0.0107331999102745,0.0195952121806598,0.019625
"ST35Q04",0.0106819488772565,0.0229754994367241,0.023
"ST35Q01",0.0103315531056037,0.0250221097208503,0.025
"ST29Q05",0.00926250780636973,0.0207222235018363,0.02075
"ST29Q01",0.00859484974871861,0.0188941687488796,0.018875
"ST91Q04",0.00847848252156031,0.0145047350730737,0.0145
"ST42Q04",0.00826038326187468,0.0114598917860054,0.0115
"ST91Q03",0.00789967888028001,0.0149460966240609,0.015
"ST44Q08",0.00774114971084181,0.0147721137846621,0.01475
"ST35Q06",0.00773832837292962,0.0157565039799795,0.01575
"ST91Q01",0.00769487801601761,0.0194986571615019,0.0195
"ST44Q01",0.00759321146044314,0.0167362416133982,0.01675
"ST43Q02",0.00753564959304327,0.0186099603998056,0.018625
"ST91Q02",0.00727506731734501,0.0163653003202858,0.016375
"ST43Q04",0.00713289796340274,0.0153654015853059,0.015375
"ST35Q05",0.00702834739786615,0.0148785483179754,0.014875
"ST44Q07",0.00696746259702159,0.0164841991243649,0.0165
"ST35Q02",0.00622152298547654,0.0147911261055076,0.01475
"ST44Q05",0.00602007266542209,0.0143817006584179,0.014375
"GEOLOC",0.00549177007432447,0.0133684186280996,0.013375
"ST42Q01",0.005184606249681,0.0131247047992555,0.013125
"ST44Q04",0.00486246527329497,0.0128632997473889,0.012875
"ST43Q05",0.0048333984367155,0.0120015418934767,0.012
"ST43Q01",0.00473506708603605,0.0127212530118876,0.01275
"ST42Q03",0.00439484967164514,0.0114968250860164,0.0115
"ST42Q10",0.00427894100228995,0.0108915325268931,0.010875
"ST29Q02",0.00415000202487477,0.0103203013159915,0.01025
"ST42Q06",0.00409518392229032,0.0106352969882473,0.010625
"ST37Q08",0.00388690081486189,0.0103711923016988,0.010375
"ST29Q07",0.00381907153453199,0.0102602775235941,0.01025
"ST42Q09",0.00365920558779937,0.00888530188492514,0.008875
"ST29Q04",0.00300811179677211,0.00787316863532261,0.007875
"ST29Q06",0.00242008953521277,0.00649204701982445,0.0065
"GENDER",0.00224868169777945,0.0058848015334844,0.005875
