"","GENDER","ESCS","STATE","GEOLOC","INDIG","MATHEFF","SCMAT","ANXMAT","INTMAT","INSTMOT","FAILMAT","SUBNORM"
"GENDER",0,0.803896759540676,0.687837190038457,0.10821275340735,0.277974819003449,0.526763704140671,1.86795610226793,0.606506389084237,0.663709273703479,0.631854413611237,0.639945310163298,0.209904740299022
"ESCS",0,0,3.00107980566995,0.441746533659292,1.14666036819976,5.06018280302204,1.80267856258402,5.01513708686014,2.36261507656241,1.87070307638599,1.59676234925552,1.92215764181817
"STATE",0,0,0,0.968369764088078,1.28987983936489,2.62389595830323,1.95830283664197,2.2424004994648,2.85983565961403,1.10039083965653,1.92622169025271,1.69589504392224
"GEOLOC",0,0,0,0,0.304663749074287,0.443880614580092,0.413400532171888,0.493345720565204,0.299633108984972,0.0995991967839099,0.298127489507425,0.242919739831904
"INDIG",0,0,0,0,0,3.24252062445253,0.621055553070738,1.89973945582019,0.747415547068697,1.046642250246,1.8178421273587,1.79392307527385
"MATHEFF",0,0,0,0,0,0,2.98731317407466,9.27932756184412,2.75531304936481,0.575560596288523,5.74192389360918,5.5193369166957
"SCMAT",0,0,0,0,0,0,0,8.05170354645525,1.94593422293766,0.865609611776579,1.98560318291445,2.1504697161318
"ANXMAT",0,0,0,0,0,0,0,0,4.71799109791445,0.404363697678216,2.46389123136554,1.06561719205351
"INTMAT",0,0,0,0,0,0,0,0,0,0.633371928648563,1.5691781288305,1.06212522802163
"INSTMOT",0,0,0,0,0,0,0,0,0,0,0.452824469303504,0.249579646606048
"FAILMAT",0,0,0,0,0,0,0,0,0,0,0,3.18196008774466
"SUBNORM",0,0,0,0,0,0,0,0,0,0,0,0
